OBJECTID,globe_中文名,name_cn,gb_yq_20200304xls_OBJECTID,地区国家,累计确诊,新增确诊,gb_yq_20200304xls_累计死亡,gb_yq_20200304xls_新增死亡,Shape_Length,Shape_Area
29,韩国,韩国,30,韩国,5328,516,32,4,17.98289336983087,9.888493694113702
30,荷兰,荷兰,31,荷兰,28,10,0,0,18.333355500570594,4.0540087645325915
31,加拿大,加拿大,32,加拿大,30,3,0,0,1539.468150466872,1671.6081244929162
32,柬埔寨,柬埔寨,33,柬埔寨,1,0,0,0,18.63402528346828,15.451451733370222
33,捷克,捷克,34,捷克,5,2,0,0,15.818643910981182,9.585600844794435
34,卡塔尔,卡塔尔,35,卡塔尔,8,1,0,0,4.7873525990949535,1.1415420848891193
35,科威特,科威特,36,科威特,56,0,0,0,7.773666661161529,1.8230353152445502
36,克罗地亚,克罗地亚,37,克罗地亚,9,1,0,0,27.832937848644814,6.697720489730894
37,拉脱维亚,拉脱维亚,38,拉脱维亚,1,0,0,0,17.674475146876787,8.498445404999151
38,黎巴嫩,黎巴嫩,39,黎巴嫩,13,0,0,0,4.3968577364534935,0.9857291017588082
39,立陶宛,立陶宛,40,立陶宛,1,0,0,0,13.70673626173672,9.209607774088758
40,卢森堡,卢森堡,41,卢森堡,1,0,0,0,2.225166435247802,0.33199722996221875
41,罗马尼亚,罗马尼亚,42,罗马尼亚,4,1,0,0,26.454777954956725,26.917526584737633
42,马来西亚,马来西亚,43,马来西亚,50,21,0,0,49.83001741353569,26.721544235033527
43,北马其顿,北马其顿,17,北马其顿,1,0,0,0,7.2354519205800685,3.017952795752632
44,美国,美国,44,美国,108,44,6,4,527.3581157276379,1112.9050036308156
45,摩洛哥,摩洛哥,45,摩洛哥,1,0,0,0,35.673396061731864,39.0925831357494
46,摩纳哥,摩纳哥,46,摩纳哥,1,0,0,0,0.8523161152170328,0.027462250009287616
47,墨西哥,墨西哥,47,墨西哥,5,0,0,0,131.3586095527125,173.73554611987979
48,尼泊尔,尼泊尔,48,尼泊尔,1,0,0,0,20.23630907856112,13.060309627616824
49,尼日利亚,尼日利亚,49,尼日利亚,1,0,0,0,41.78217691309874,76.66049680286469
50,挪威,挪威,50,挪威,32,7,0,0,267.8994298156042,81.57468541459626
51,葡萄牙,葡萄牙,51,葡萄牙,2,0,0,0,22.388757655282383,9.403946300113345
52,日本,日本,53,日本,284,16,6,0,104.78979920248702,38.62456043847649
53,瑞典,瑞典,54,瑞典,24,9,0,0,64.62631871977895,77.22779649392618
54,瑞士,瑞士,55,瑞士,37,7,0,0,11.567842828022984,5.104879920475219
55,塞内加尔,塞内加尔,56,塞内加尔,1,0,0,0,24.687196205215827,15.868518139954155
56,沙特阿拉伯,沙特阿拉伯,57,沙特阿拉伯,1,0,0,0,65.94437383515957,175.59795618430664
57,圣马力诺,圣马力诺,58,圣马力诺,8,0,0,0,1.1315150601924215,0.05342853514833507
58,斯里兰卡,斯里兰卡,59,斯里兰卡,1,0,0,0,10.823566818714909,5.654757879000185
59,泰国,泰国,60,泰国,43,0,1,0,57.346016213812554,43.62243168362355
60,突尼斯,突尼斯,61,突尼斯,1,0,0,0,22.458696037337344,15.988278012532524
61,乌克兰,乌克兰,62,乌克兰,1,1,0,0,63.05817999968692,73.69212728191064
62,西班牙,西班牙,63,西班牙,151,37,0,0,55.118841175901764,54.280343511511816
63,希腊,希腊,64,希腊,7,0,0,0,58.47034243451138,12.923495647177484
64,新加坡,新加坡,65,新加坡,110,2,0,0,1.9553307336349242,0.2523737098666097
65,新西兰,新西兰,66,新西兰,2,0,0,0,58.304165366366284,29.63120638720386
66,亚美尼亚,亚美尼亚,67,亚美尼亚,1,0,0,0,9.904000073855808,3.665524679494105
67,伊拉克,伊拉克,68,伊拉克,31,5,0,0,30.660664906794203,41.78992464134522
68,伊朗,伊朗,69,伊朗,2336,835,77,11,68.40164742880594,155.27545671985794
69,以色列,以色列,70,以色列,12,2,0,0,8.297262355484154,2.635821759653052
70,意大利,意大利,71,意大利,2502,466,80,28,62.44360010363238,33.478741916560494
71,印度,印度,72,印度,6,1,0,0,131.09065847419012,259.72588140084724
72,印度尼西亚,印度尼西亚,73,印度尼西亚,2,0,0,0,332.89793967106874,150.2324304884168
73,英国,英国,74,英国,51,12,0,0,80.6012340838105,32.931884776853764
74,约旦,约旦,75,约旦,1,0,0,0,16.44573457072095,8.174769097572026
75,越南,越南,76,越南,16,0,0,0,51.129595842029055,28.049825586585218
76,智利,智利,77,智利,1,1,0,0,206.21721206455453,76.94303951148807
77,中国,中国,78,中国,80565,143,3015,31,260.04206422474147,965.6285542020123
78,其他,其他,52,其他,706,0,6,0,0.47041055884463034,0.013365553414913307
