OBJECTID,globe_中文名,name_cn,gb_yq_20200307xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,gb_yq_20200307xls_新增死亡,Shape_Length,Shape_Area
40,科威特,科威特,44,科威特,58,0,0,0,7.773666661161529,1.8230353152445502
41,克罗地亚,克罗地亚,45,克罗地亚,11,1,0,0,27.832937848644814,6.697720489730894
42,拉脱维亚,拉脱维亚,46,拉脱维亚,1,0,0,0,17.674475146876787,8.498445404999151
43,黎巴嫩,黎巴嫩,47,黎巴嫩,22,6,0,0,4.3968577364534935,0.9857291017588082
44,立陶宛,立陶宛,48,立陶宛,1,0,0,0,13.70673626173672,9.209607774088758
45,列支敦士登,列支敦士登,49,列支敦士登,1,0,0,0,0.5537338509349466,0.014136864978603553
46,卢森堡,卢森堡,50,卢森堡,2,1,0,0,2.225166435247802,0.33199722996221875
47,罗马尼亚,罗马尼亚,51,罗马尼亚,7,1,0,0,26.454777954956725,26.917526584737633
48,马来西亚,马来西亚,52,马来西亚,83,28,0,0,49.83001741353569,26.721544235033527
49,北马其顿,北马其顿,17,北马其顿,3,2,0,0,7.2354519205800685,3.017952795752632
50,美国,美国,53,美国,213,65,11,1,527.3581157276379,1112.9050036308156
51,秘鲁,秘鲁,20,秘鲁,1,1,0,0,63.8239657232155,107.39829219089364
52,摩洛哥,摩洛哥,54,摩洛哥,2,0,0,0,35.673396061731864,39.0925831357494
53,摩纳哥,摩纳哥,55,摩纳哥,1,0,0,0,0.8523161152170328,0.027462250009287616
54,墨西哥,墨西哥,56,墨西哥,5,0,0,0,131.3586095527125,173.73554611987979
55,南非,南非,57,南非,1,0,0,0,67.18513901699947,116.54854257558914
56,尼泊尔,尼泊尔,58,尼泊尔,1,0,0,0,20.23630907856112,13.060309627616824
57,尼日利亚,尼日利亚,59,尼日利亚,1,0,0,0,41.78217691309874,76.66049680286469
58,挪威,挪威,60,挪威,113,27,0,0,267.8994298156042,81.57468541459626
59,葡萄牙,葡萄牙,61,葡萄牙,13,4,0,0,22.388757655282383,9.403946300113345
60,日本,日本,63,日本,408,59,6,0,104.78979920248702,38.62456043847649
61,瑞典,瑞典,64,瑞典,137,76,0,0,64.62631871977895,77.22779649392618
62,瑞士,瑞士,65,瑞士,209,123,1,0,11.567842828022984,5.104879920475219
63,塞尔维亚,塞尔维亚,66,塞尔维亚,1,0,0,0,16.158105261964824,9.776125219837315
64,塞内加尔,塞内加尔,67,塞内加尔,4,0,0,0,24.687196205215827,15.868518139954155
65,沙特阿拉伯,沙特阿拉伯,68,沙特阿拉伯,8,0,0,0,65.94437383515957,175.59795618430664
66,圣马力诺,圣马力诺,71,圣马力诺,24,3,0,0,1.1315150601924215,0.05342853514833507
67,斯里兰卡,斯里兰卡,72,斯里兰卡,1,0,0,0,10.823566818714909,5.654757879000185
68,斯洛伐克,斯洛伐克,73,斯洛伐克,1,1,0,0,12.817386388913786,6.015673484608724
69,斯洛文尼亚,斯洛文尼亚,74,斯洛文尼亚,9,3,0,0,8.241584103350847,2.260139332641655
70,泰国,泰国,75,泰国,48,1,1,0,57.346016213812554,43.62243168362355
71,突尼斯,突尼斯,76,突尼斯,1,0,0,0,22.458696037337344,15.988278012532524
72,乌克兰,乌克兰,77,乌克兰,1,0,0,0,63.05817999968692,73.69212728191064
73,西班牙,西班牙,78,西班牙,374,117,5,2,55.118841175901764,54.280343511511816
74,希腊,希腊,79,希腊,32,0,0,0,58.47034243451138,12.923495647177484
75,新加坡,新加坡,80,新加坡,130,13,0,0,1.9553307336349242,0.2523737098666097
76,新西兰,新西兰,81,新西兰,5,1,0,0,58.304165366366284,29.63120638720386
77,匈牙利,匈牙利,82,匈牙利,5,3,0,0,17.81727862828512,10.96767898880457
78,亚美尼亚,亚美尼亚,83,亚美尼亚,1,0,0,0,9.904000073855808,3.665524679494105
79,伊拉克,伊拉克,84,伊拉克,44,8,4,2,30.660664906794203,41.78992464134522
80,伊朗,伊朗,85,伊朗,4747,1234,124,17,68.40164742880594,155.27545671985794
81,以色列,以色列,86,以色列,19,4,0,0,8.297262355484154,2.635821759653052
82,意大利,意大利,87,意大利,4636,778,197,49,62.44360010363238,33.478741916560494
83,印度,印度,88,印度,31,1,0,0,131.09065847419012,259.72588140084724
84,印度尼西亚,印度尼西亚,89,印度尼西亚,2,0,0,0,332.89793967106874,150.2324304884168
85,英国,英国,90,英国,167,49,1,1,80.6012340838105,32.931884776853764
86,约旦,约旦,91,约旦,1,0,0,0,16.44573457072095,8.174769097572026
87,越南,越南,92,越南,17,1,0,0,51.129595842029055,28.049825586585218
88,智利,智利,94,智利,5,4,0,0,206.21721206455453,76.94303951148807
89,中国,中国,95,中国,80859,46,3100,27,260.04206422474147,965.6285542020123
90,其他,其他,62,其他,696,0,6,0,0.47041055884463034,0.013365553414913307
91,被占巴勒斯坦领土,被占巴勒斯坦领土,18,被占巴勒斯坦领土,16,9,0,0,3.0997752598773176,0.26056252278409275
92,波黑,波黑,22,波黑,2,0,0,0,8.895300903470677,3.9014952814945154
93,圣马丁,圣马丁,70,圣马丁,2,0,0,0,0.15159164717977763,0.0008890849768216117
94,直布罗陀,直布罗陀,93,直布罗陀,1,0,0,0,0.013883779104465492,6.97538032364115e-06
95,圣巴托洛缪岛,圣巴托洛缪岛,69,圣巴托洛缪岛,1,0,0,0,0.026108061968111107,2.9894487100654525e-05
